epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.363,3.51578,4.52803,4.28611,0,0,0,0,2.46216,4.58625,4.15906,0.00024293,0.00024293,0.00024293
2,374.994,3.37101,4.10962,4.09346,5e-05,0.00833,3e-05,1e-05,2.46595,4.60443,4.16591,0.000495199,0.000495199,0.000495199
3,553.262,3.09266,3.83712,3.83075,0.00028,0.025,0.00015,5e-05,2.52762,4.66551,4.2427,0.000742374,0.000742374,0.000742374
1,16.0556,3.61124,4.5516,4.30272,2e-05,0.00417,1e-05,0,2.44699,4.41109,4.15869,0.00024293,0.00024293,0.00024293
2,30.0778,3.42659,4.13368,4.10361,0.00013,0.01667,7e-05,2e-05,2.45366,4.45574,4.16581,0.000495199,0.000495199,0.000495199
3,42.2152,2.89542,3.81695,3.79294,0.00016,0.0125,8e-05,2e-05,2.49477,4.55778,4.23532,0.000742374,0.000742374,0.000742374
4,52.8037,2.66519,3.62658,3.3878,0.00013,0.00833,7e-05,1e-05,2.62631,4.8374,4.42143,0.000984457,0.000984457,0.000984457
5,64.0051,2.5386,3.50825,3.0976,0,0,0,0,2.90466,5.0661,4.74717,0.00122145,0.00122145,0.00122145
6,75.685,2.47746,3.45385,2.93156,0.00021,0.0125,0.00011,1e-05,2.27643,4.33235,4.10564,0.00135826,0.00135826,0.00135826
7,85.7001,2.41192,3.30247,2.76293,0.19004,0.11864,0.12201,0.04813,1.96144,3.60063,3.01562,0.00134412,0.00134412,0.00134412
8,96.0546,2.35372,3.21435,2.59332,0.49689,0.21667,0.1732,0.07323,1.9507,3.91127,2.54581,0.00132997,0.00132997,0.00132997
9,107.279,2.33756,3.13148,2.5718,0.22424,0.24167,0.18295,0.07168,1.91987,4.78854,2.30005,0.00131582,0.00131582,0.00131582
10,116.65,2.32059,3.02495,2.51823,0.09536,0.29167,0.1003,0.04029,1.89274,3.63499,2.27532,0.00130168,0.00130168,0.00130168
11,127.894,2.28095,2.99147,2.50677,0.32979,0.28333,0.2741,0.13194,1.78686,3.46138,2.14404,0.00128753,0.00128753,0.00128753
12,136.846,2.2174,2.91719,2.40744,0.92488,0.1875,0.23648,0.10206,1.76664,3.1041,2.13432,0.00127338,0.00127338,0.00127338
13,146.301,2.21955,2.79855,2.38904,0.24059,0.28738,0.27326,0.13724,1.73497,2.88382,2.13034,0.00125923,0.00125923,0.00125923
14,154.656,2.1549,2.77053,2.33059,0.89026,0.18333,0.2746,0.11677,1.73876,2.81204,2.12186,0.00124509,0.00124509,0.00124509
15,166.188,2.14473,2.77708,2.3384,0.31113,0.11656,0.17952,0.08494,1.74054,3.09253,2.1394,0.00123094,0.00123094,0.00123094
16,176.425,2.11638,2.63503,2.27927,0.34974,0.28954,0.30331,0.11987,1.70944,2.871,2.19771,0.00121679,0.00121679,0.00121679
17,184.783,2.11711,2.65004,2.30753,0.68313,0.2514,0.31601,0.14168,1.7312,2.7355,2.1144,0.00120265,0.00120265,0.00120265
18,195.375,2.04777,2.61558,2.24041,0.35895,0.30833,0.35868,0.1903,1.63192,2.45612,1.96654,0.0011885,0.0011885,0.0011885
19,206.225,2.06034,2.58106,2.22422,0.48009,0.30137,0.36332,0.15935,1.6478,2.5062,2.02328,0.00117435,0.00117435,0.00117435
20,218.538,2.06118,2.51853,2.23618,0.39264,0.42917,0.38057,0.1768,1.68875,2.42394,1.98572,0.00116021,0.00116021,0.00116021
21,227.281,2.04633,2.45858,2.16231,0.50864,0.39289,0.41446,0.21905,1.64621,2.25482,1.93476,0.00114606,0.00114606,0.00114606
22,236.512,2.06207,2.45799,2.21616,0.32141,0.43315,0.34866,0.17072,1.67068,2.48439,1.97649,0.00113191,0.00113191,0.00113191
23,245.877,2.01895,2.38517,2.14875,0.3594,0.45542,0.43746,0.20504,1.64582,2.21199,1.91357,0.00111776,0.00111776,0.00111776
24,255.759,2.02688,2.38374,2.14652,0.36727,0.44826,0.40959,0.20997,1.52893,2.27611,1.8611,0.00110362,0.00110362,0.00110362
25,267.256,2.01716,2.32736,2.14776,0.47383,0.45466,0.44739,0.18688,1.70428,2.25413,1.97656,0.00108947,0.00108947,0.00108947
26,276.082,2.01817,2.31692,2.16275,0.48678,0.43809,0.46115,0.2383,1.53039,2.23435,1.90867,0.00107532,0.00107532,0.00107532
27,284.674,1.95518,2.19038,2.12901,0.47735,0.45323,0.45091,0.21051,1.58744,2.21846,1.98871,0.00106118,0.00106118,0.00106118
28,293.388,1.94548,2.23666,2.09447,0.48459,0.47917,0.47883,0.25774,1.49153,2.12964,1.83675,0.00104703,0.00104703,0.00104703
29,304.954,1.92485,2.14465,2.06799,0.56372,0.4625,0.48814,0.28083,1.48901,2.05412,1.80395,0.00103288,0.00103288,0.00103288
30,314.23,1.92424,2.15974,2.08035,0.5417,0.495,0.49652,0.2752,1.47969,2.01559,1.77778,0.00101873,0.00101873,0.00101873
31,323.854,1.89929,2.13939,2.05295,0.53135,0.52083,0.54481,0.3077,1.43115,2.00438,1.75935,0.00100459,0.00100459,0.00100459
32,334.025,1.88252,2.13272,2.05374,0.45253,0.53333,0.52243,0.28441,1.44981,2.02332,1.82672,0.00099044,0.00099044,0.00099044
33,343.724,1.88371,2.08711,2.05893,0.51593,0.5625,0.53905,0.29737,1.43915,1.91281,1.82574,0.000976293,0.000976293,0.000976293
34,355.213,1.88341,2.1145,2.07854,0.51665,0.50833,0.48727,0.23353,1.53867,2.07224,1.92016,0.000962146,0.000962146,0.000962146
35,365.47,1.79524,1.97653,1.97449,0.54522,0.55833,0.51262,0.27719,1.43895,2.07512,1.73442,0.000947999,0.000947999,0.000947999
36,374.581,1.86376,1.99213,2.01166,0.56729,0.59914,0.58138,0.31366,1.4749,1.84838,1.81634,0.000933851,0.000933851,0.000933851
37,383.586,1.83312,1.96312,2.01944,0.51997,0.57917,0.59535,0.34083,1.39989,1.8057,1.78423,0.000919704,0.000919704,0.000919704
38,393.521,1.75858,1.93587,1.95934,0.59883,0.5619,0.59065,0.33219,1.42295,1.85191,1.77514,0.000905557,0.000905557,0.000905557
39,403.997,1.78679,1.86857,1.97423,0.62002,0.54583,0.60714,0.34852,1.44338,1.75038,1.76,0.00089141,0.00089141,0.00089141
